Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
1812447  ;6MM HOLLOW POST GOLD BALL EAR;      1 ;     39-;     39-;     46 ;      7 ;      0 ;1HALLM ;
8MMGBDN  ;8MM GOLD BALL PE 14K HOLLOW DBL NOTCH;      0 ;     10 ;     10 ;    144 ;    154 ;      0 ;1HALLM ;
HH64BRP60;3MM 2-HOLE BEAD 055-060 HOLE;      0 ;     88-;     88-;    222 ;    134 ;      0 ;1HALLM ;
NUT STER ;STERLING NUT 064CFR76000075-STG;      0 ;   1779-;  21779-;  27382 ;   5603 ;  20000 ;1HALLM ;
WNUT STER;STERLING NUT 074CFR76000175-STG;      0 ;   3818 ;   3818 ;   1130 ;   4948 ;      0 ;1HALLM ;
X1040L   ;4MM GOLD ADD-A-BEAD 'TWEENER' VERSION;      0 ;   1605-;   1605-;    588 ;   1017-;      0 ;1HALLM ;
X7MMGB   ;7MM HOLLOW POST GOLD BALL EAR 10K;      0 ;     26-;    126-;    176 ;     50 ;    100 ;1HALLM ;
X8MMGB   ;10K 8MM GOLD BALL HOLLOW POST;      0 ;     16-;    760-;    846 ;     86 ;    744 ;1HALLM ;
X97415   ;5MM WH GOLD BALL EAR 10K HOLLOW RHOD;      0 ;     12-;    894-;   1176 ;    282 ;    882 ;1HALLM ;
XNUT STER;STERLING NUT 062CFR76000075-STG;      0 ;     24-;     24-;     76 ;     52 ;      0 ;1HALLM ;
XW3MMGB  ;3MM WH GOLD BALL EAR - INCL. RHOD., HOLLOW POST;      0 ;    207-;    451-;    610 ;    159 ;    244 ;1HALLM ;
XY805350 ;HOOP-ENDLESS 1.25X25MM;      0 ;     77-;    777-;   1312 ;    535 ;    700 ;1HALLM ;
5004650S ;SS 5MM STARDUST BEAD;      0 ;     10 ;     10 ;    224 ;    234 ;      0 ;1JKFIN ;
GF4MMB   ;STUD-4MM BALL;      0 ;    600-;    606-;   1164 ;    558 ;      6 ;1JKFIN ;
GF4MMZ   ;STUD-14KGF 4MM CZ 4PR SNAP;      0 ;    300-;    300-;    582 ;    282 ;      0 ;1JKFIN ;
GF818320 ;STUD-3MM 3 BALL;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1JKFIN ;
GF818411 ;HOOP-14GF 1.25X17MM ENDLESS;      0 ;    100-;    210-;    210 ;      0 ;    110 ;1JKFIN ;
GF818412 ;HOOP-14GF 1.25X14MM ENDLESS;      0 ;    100-;    210-;    210 ;      0 ;    110 ;1JKFIN ;
GF818413 ;HOOP-14GF 1.25X12MM ENDLESS;      0 ;    100-;    210-;    210 ;      0 ;    110 ;1JKFIN ;
PROMONUT ;SILICONE NUT- PROMO BUBBLE SHAPE PUSH-ON;      0 ;   6422-;   6422-;   7428 ;   1006 ;      0 ;1JTS   ;
PROMONUTW;WG SILICONE NUT- PROMO BUBBLE SHAPE PUSH-ON;      0 ;    584-;    584-;   3648 ;   3064 ;      0 ;1JTS   ;
XPROMONUT;SILICONE NUT- PROMO BUBBLE SHAPE PUSH-ON;      0 ;    236 ;    236 ;     60 ;    296 ;      0 ;1JTS   ;
SS7131275;SSRH 2,8MM HRB CHN 6.5+1" EXT;      0 ;      3-;      3-;     29 ;     26 ;      0 ;1KARIZ ;
SS7131375;SSRH 1.4MM FGR CHN 6.5+1";      0 ;      2-;      2-;     10 ;      8 ;      0 ;1KARIZ ;
